天体1,天体2,黄経1,黄経2,角度差,アスペクト名,理論角度,オーブ差
太陽,月,153.35,147.98,5.37,コンジャンクション,0,5.37
太陽,水星,153.35,157.45,4.1,コンジャンクション,0,4.1
太陽,火星,153.35,244.72,91.37,スクエア,90,1.37
太陽,木星,153.35,273.15,119.8,トライン,120,0.2
太陽,海王星,153.35,268.71,115.36,トライン,120,4.64
太陽,冥王星,153.35,209.95,56.6,セクスタイル,60,3.4
太陽,ドラゴンヘッド,153.35,61.93,91.42,スクエア,90,1.42
太陽,ドラゴンテール,153.35,241.93,88.58,スクエア,90,1.42
月,木星,147.98,273.15,125.16,トライン,120,5.16
月,海王星,147.98,268.71,120.73,トライン,120,0.73
月,冥王星,147.98,209.95,61.97,セクスタイル,60,1.97
月,ドラゴンヘッド,147.98,61.93,86.05,スクエア,90,3.95
月,ドラゴンテール,147.98,241.93,93.95,スクエア,90,3.95
水星,火星,157.45,244.72,87.27,スクエア,90,2.73
水星,木星,157.45,273.15,115.7,トライン,120,4.3
水星,土星,157.45,221.24,63.79,セクスタイル,60,3.79
水星,天王星,157.45,249.56,92.11,スクエア,90,2.11
水星,ドラゴンヘッド,157.45,61.93,95.52,スクエア,90,5.52
水星,ドラゴンテール,157.45,241.93,84.48,スクエア,90,5.52
金星,海王星,172.89,268.71,95.82,スクエア,90,5.82
火星,天王星,244.72,249.56,4.85,コンジャンクション,0,4.85
火星,ドラゴンヘッド,244.72,61.93,177.22,オポジション,180,2.78
火星,ドラゴンテール,244.72,241.93,2.78,コンジャンクション,0,2.78
木星,海王星,273.15,268.71,4.44,コンジャンクション,0,4.44
木星,冥王星,273.15,209.95,63.19,セクスタイル,60,3.19
木星,ドラゴンヘッド,273.15,61.93,148.79,クインカンクス,150,1.21
天王星,ドラゴンヘッド,249.56,61.93,172.37,オポジション,180,7.63
天王星,ドラゴンテール,249.56,241.93,7.63,コンジャンクション,0,7.63
海王星,冥王星,268.71,209.95,58.76,セクスタイル,60,1.24
冥王星,ドラゴンヘッド,209.95,61.93,148.02,クインカンクス,150,1.98
ドラゴンヘッド,ドラゴンテール,61.93,241.93,180.0,オポジション,180,0.0
